stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711KNC,,Kencom,D,-1.28612,36.82594,,,,
0611GPO,,GPO,D,-1.285969,36.818707,,,,
0611SRN,,Serena,D,-1.288756,36.813043,,,,
0611VRP,,Valley Road Pentecostal,D,-1.292408,36.804994,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0711UCN,,Uchumi Hyper Ngong Road/ Ngong Hills Hotel,D,-1.299527,36.792314,,,,
0711NKP,,Nakumatt Prestige,D,-1.299708,36.787362,,,,
0711MTL,,Motherland,D,-1.299889,36.783829,,,,
0711AAD,,Adams Arcade,D,-1.300068,36.781184,,,,
0701PSA,,Posta,ND,-1.300362,36.774018,,,,
0711PST,,Posta Stage,D,-1.30048,36.771887,,,,
0711IMP,,Impala,D,-1.300448,36.7692,,,,
0711JKR,,Jamuhuri/Kibera Station Road,D,-1.300063,36.767103,,,,
0711NKJ,,Nakumatt Junction,D,-1.299205,36.763019,,,,
0701CMD,,Corner/Meteorological Department,ND,-1.299706,36.759325,,,,
0701TKS,,Tankard/Shallow,ND,-1.300559,36.756962,,,,
0701SWD,,Showground,ND,-1.302148,36.752708,,,,
0701SFY,,Showground/FastEnergy,ND,-1.302559,36.75167,,,,
0701KNO,,Kenol,ND,-1.304315,36.746821,,,,
0701PWY,,Pathway,ND,-1.305775,36.742626,,,,
0701RCE,,Racecourse,ND,-1.306662,36.738271,,,,
0711LNN,,Lenana,D,-1.30788,36.734194,,,,
0701LNA,,Lenana,ND,-1.308462,36.732408,,,,
0711MTI,,Miotoni,D,-1.3126,36.722659,,,,
0701CRS,,Christophers,ND,-1.318738,36.715632,,,,
0701KFR,,Kwa Farasi,ND,-1.319781,36.714437,,,,
0510KEN,,Karen,ND,-1.323348,36.708211,,,,
0510SMP,,St.Marys karen Primary School,D,-1.325292,36.709829,,,,
0500KCH,,Karen Catholic Church,ND,-1.32613,36.71052,,,,
0510ETG,,Eternity Gospel Church,ND,-1.329351,36.71327,,,,
0500KRJ,,Karen Road Junction,ND,-1.333746,36.716578,,,,
0500MRL,,Marula,ND,-1.336929,36.71569,,,,
0500KCL,,Karen Country Club,ND,-1.33948,36.714834,,,,
0500FRT,,Forest Lane,ND,-1.346624,36.714338,,,,
0500KBL,,Karen Blixen,ND,-1.353141,36.713296,,,,
0500QRL,,Quarry Lane,ND,-1.354529,36.717501,,,,
0500NDG,,Ndege Road,ND,-1.354816,36.720121,,,,
0500MSL,,Masai Lane Junction,ND,-1.355178,36.723273,,,,
0500MSV,,Masai Villas,ND,-1.357741,36.723063,,,,
0500MSW,,Maasai Lane/Masai West,ND,-1.360987,36.722714,,,,
0500LBN,,Laibon Lane,ND,-1.360978,36.724102,,,,
0500CMZ,,Christian Ministries in Africa,ND,-1.360852,36.725832,,,,
0500MWR,,Masai West Road,ND,-1.360803,36.729305,,,,
0500AGB,,Agribusiness Centre,ND,-1.365584,36.735952,,,,
0500HMN,,Hardy Manor,ND,-1.365369,36.737049,,,,
0500HRN,,Hardy Junction,ND,-1.364737,36.742286,,,,
0510HDY,,Hardy Stage,D,-1.365382,36.742464,,,,
0500GCT,,Beacons Inn/Giraffe Centre,ND,-1.366791,36.743641,,,,
0500MBZ,,Matbronze,ND,-1.364419,36.745237,,,,
0500SOL,,School of Law,ND,-1.360407,36.747073,,,,
0510SOL,,School of Law,D,-1.359739,36.746976,,,,
0510KJC,,Kareng'ata/JKUAT/CUEA,D,-1.353708,36.74708,,,,
0510TNZ,,Tangaza College,D,-1.348748,36.748684,,,,
0500LRJ,,Lang'ata Road Junction,ND,-1.340833,36.750538,,,,
0500NBA,,Nairobi Academy,ND,-1.340475,36.750709,,,,
0500MKY,,Kobil/Mokoyeti Road West,ND,-1.34093,36.754073,,,,
0500CUV,,CUEA,ND,-1.34149,36.757784,,,,
0500MPK,,NPC Karen,ND,-1.341643,36.759041,,,,
0500BMA,,Bomas,ND,-1.342646,36.765796,,,,
0500HST,,Hostel,ND,-1.338413,36.773181,,,,
0500ORP,,Orphanage,ND,-1.33317,36.781317,,,,
0510BRK,,Barracks,D,-1.331629,36.783604,,,,
0510LGT,,Langata/Mobil,D,-1.328715,36.788743,,,,
0510HQS,,HQ/Headquaters,D,-1.324143,36.797008,,,,
0510KAS,,Kanisani,D,-1.323677,36.798897,,,,
0510CAN,,Canivore/Rafikiz,D,-1.323061,36.802046,,,,
0510AMR,,Amref,D,-1.319403,36.81053,,,,
0510WIL,,Wilson,D,-1.315626,36.814272,,,,
0600BLU,,Bluesky,ND,-1.312813,36.815245,,,,
0600APV,,Airportview,ND,-1.313913,36.812483,,,,
0600HRS,,Highrise,ND,-1.314683,36.808175,,,,
0601FLY,,Kenyatta Market Flyover,ND,-1.306358,36.803224,,,,
0600MOS,,Mosque,ND,-1.303038,36.802441,,,,
0600MBA,,Mbagathi Flats,ND,-1.301077,36.802553,,,,
0710KNH,,Kenyatta/Nairobi Hospital,D,-1.29752,36.80323,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0700NHF,,NHIF,D,-1.29449,36.812269,,,,
0710AGH,,Agip Haile Selassie,D,-1.291307,36.823225,,,,
0710KNC,,Kencom,D,-1.28612,36.82594,,,,
