stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211LUT,,25A Terminal,D,-1.282233,36.823521,,,,
0211KNJ,,Konja,D,-1.281538,36.822435,,,,
0211NGR,,Ngara,D,-1.274601,36.824122,,,,
0211PIO,,KIE/Pioneer,D,-1.271566,36.82825,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALP,,Alsops,ND,-1.245356,36.867652,,,,
0201DAW,,dawa pharmacutical,ND,-1.247043,36.873225,,,,
0201CON,,corner,ND,-1.247011,36.874858,,,,
0201RUA,,ruaraka corner,ND,-1.2439,36.875695,,,,
0201BLE,,bleria,ND,-1.243924,36.880872,,,,
0201BLC,,bilco,ND,-1.243994,36.882399,,,,
0211CAT,,babandogo catho,D,-1.244064,36.884102,,,,
0201BBP,,baba ndogo ryma,ND,-1.244174,36.886414,,,,
0211BDT,,baba ndogo terminal,D,-1.282233,36.823521,,,,
0201GTC,,Gathecha,ND,-1.241157,36.890502,,,,
0201KEP,,Kenya power,ND,-1.242862,36.89084,,,,
0201BPC,,The Baptist Chapel,ND,-1.241702,36.893618,,,,
0201TJA,,Timba junior Academy,ND,-1.241243,36.894187,,,,
0201MOS,,Mosque,ND,-1.24068,36.89471,,,,
0201AIS,,AIC lucky Summer,ND,-1.240432,36.895398,,,,
0201HSM,,House of Faith Ministry,ND,-1.240245,36.895997,,,,
0211LUD,,Lucky Summer Terminal,D,-1.239762,36.897502,,,,
0210LUD,,Lucky Summer Terminal,D,-1.239762,36.897502,,,,
0200MOS,,Mosque syd ya juu,ND,-1.24068,36.89471,,,,
0200DEC,,deliverance Church,ND,-1.241361,36.894047,,,,
0200KEP,,Kenya power,ND,-1.242862,36.89084,,,,
0200KSC,,KSC intenational,ND,-1.240776,36.887707,,,,
0211BBG,,baba ndogo,D,-1.244217,36.887409,,,,
0210BBG,,Terminal,D,-1.244217,36.887409,,,,
0200BBC,,baba ndogo catho,ND,-1.244056,36.884075,,,,
0200KEN,,kenafric,ND,-1.243938,36.880802,,,,
0210NVS,,naivas,D,-1.243809,36.877718,,,,
0200CON,,corner,ND,-1.243938,36.875717,,,,
0210ALP,,All sops,D,-1.245421,36.867681,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0200GNK,,Guru Nanak,ND,-1.268919,36.83285,,,,
0210NGR,,Ngara,D,-1.274513,36.824497,,,,
0210FIG,,Fig Tree,D,-1.275607,36.823317,,,,
0210KNJ,,Konja,D,-1.281093,36.82277,,,,
0210LUT,,25A terminal,D,-1.282233,36.823521,,,,
