stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0511ADU,,Ambassadeur,D,-1.286043,36.826165,,,,
0501KPU,,Kenya Polytechnic Bus Stop,ND,-1.292001,36.822352,,,,
0511MAD,,Madaraka Stage,D,-1.307995,36.819254,,,,
0511FLY,,Madaraka Flyover,D,-1.307736,36.819463,,,,
0501TML,,T-mall/shell,ND,-1.310921,36.817428,,,,
0501WIL,,Wilson Airport/Shell,ND,-1.316647,36.813418,,,,
0501AMR,,Amref,ND,-1.319163,36.810873,,,,
0501DME,,Dam Estate,ND,-1.322802,36.804624,,,,
0501UCH,,Carnivore/Uchumi Hyper,ND,-1.323222,36.802134,,,,
0511LGT,,Lang'ata,D,-1.328457,36.789744,,,,
0511BRK,,Barracks,D,-1.331889,36.783486,,,,
0500LGS,,Lang'ata Road Stage/St. Mary's H,ND,-1.332642,36.78224,,,,
0511OPR,,Nairobi National Park/Orphanage,ND,-1.334299,36.779501,,,,
0501LGC,,Lan'gata Cemetery,ND,-1.334967,36.778186,,,,
0501WCK,,WCK,ND,-1.338157,36.773563,,,,
0511NKG,,Nakumatt Galleria,D,-1.342757,36.766115,,,,
0501NPC,,NPC Karen,ND,-1.341765,36.759372,,,,
0511CAT,,CUEA | Catholic University,D,-1.341533,36.75747,,,,
0501KNA,,Kenol/Nairobi Academy,ND,-1.340951,36.753609,,,,
0511MAM,,Mamba,D,-1.341175,36.750551,,,,
0511TAN,,Tangaza College,D,-1.348801,36.748751,,,,
0511KAJ,,Karengata/CUEA/JKUAT stage,D,-1.353995,36.746983,,,,
0501SOL,,Kenya School of Law,ND,-1.359019,36.746983,,,,
0511SOL,,Kenya School of Law,D,-1.360076,36.747079,,,,
0501BOT,,Botanical Gardens,ND,-1.362273,36.747377,,,,
0501MAB,,Matbronze,ND,-1.363583,36.747385,,,,
0501KIL,,Kilimani Junior School,ND,-1.364492,36.745067,,,,
0501HSB,,Hardy Shopping Centre/Beacons In,ND,-1.366931,36.743548,,,,
0511POL,,Hardy Shopping Centre/Hardy Police Station,ND,-1.364842,36.742185,,,,
0501HMA,,Hardy Manor,ND,-1.365576,36.737851,,,,
0501MAS,,Masai Road,ND,-1.360855,36.729176,,,,
0501KOD,,Kordes Roses,ND,-1.360904,36.727629,,,,
0501COG,,Collingham Gardens,ND,-1.36086,36.726432,,,,
0501MAL,,Moran Lane/Masai Lane Junction,ND,-1.360892,36.722524,,,,
0501MBO,,Masai Lane Bogani Lane Junction,ND,-1.35525,36.723203,,,,
0501CEM,,CEMASTEA,ND,-1.353903,36.71309,,,,
0501KBX,,Karen Blixen,ND,-1.352911,36.713291,,,,
0501TAM,,Tamambo,ND,-1.345196,36.714403,,,,
0501FOR,,Forest Road,ND,-1.341346,36.714119,,,,
0501KAE,,Karen Country Club,ND,-1.3394,36.714824,,,,
0501MAU,,Marula,ND,-1.33674,36.715753,,,,
0501LRJ,,Lang'ata Road Junction,ND,-1.333234,36.716255,,,,
0501DBB,,Don Bosco Boys Training Institut,ND,-1.326854,36.711103,,,,
0501KCL,,Karen Catholic Church,ND,-1.325946,36.710312,,,,
0501KNK,,Karen/Nakumatt CrossRoads,ND,-1.323235,36.708025,,,,
0700KEL,,Karen/Shell,ND,-1.322047,36.707888,,,,
0700TLF,,The Legend/Kwa Farasi,ND,-1.321118,36.710461,,,,
0700CRP,,Christophers,ND,-1.318646,36.715664,,,,
0700SHW,,Shell/Hobwogi/Motton West Road,ND,-1.316487,36.718119,,,,
0700MTO,,Miotoni,ND,-1.31267,36.722468,,,,
0700LEA,,Lenana,ND,-1.308366,36.732493,,,,
0710LNN,,Lenana,D,-1.308058,36.73344,,,,
0700FVM,,Forest View Mall,ND,-1.307392,36.735457,,,,
0700RAC,,Racecourse,ND,-1.306525,36.738683,,,,
0700PWA,,Pathway,ND,-1.305832,36.742077,,,,
0700KEO,,Kenol,ND,-1.30421,36.74671,,,,
0700STK,,Santack Estate,ND,-1.302958,36.750277,,,,
0700SGR,,Showground,ND,-1.301694,36.753688,,,,
0700TRD,,Tankard,ND,-1.300614,36.756625,,,,
0700CDT,,Corner/Meteorological Department/Total,ND,-1.299403,36.759837,,,,
0710NKT,,Nakumatt Junction,D,-1.299031,36.762577,,,,
0710BBT,,88MPH/Brew Bistro,D,-1.299571,36.76512,,,,
0710IMJ,,Impala/Makini/Jamuhuri,D,-1.300436,36.76897,,,,
0710POD,,Posta/Ole Odume Road,D,-1.300327,36.774047,,,,
0710ADC,,Adams Arcade,D,-1.300006,36.780041,,,,
0710KRD,,Kirichwa Road Junction,D,-1.299879,36.782118,,,,
0710TTL,,Total Ngong Road,D,-1.299607,36.788665,,,,
0700BMC,,Bishop Maigua Centre,D,-1.29905,36.796961,,,,
0710CCT,,China Centre,D,-1.298608,36.798992,,,,
0710CME,,Coptic /Memosa,D,-1.297604,36.804312,,,,
0710KNL,,Kenyatta National Hospital,D,-1.297021,36.806934,,,,
0710KNS,,Kenyatta National Hospital,D,-1.300727,36.808843,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0700NHF,,NHIF,D,-1.29449,36.812269,,,,
0710AGH,,Agip Haile Selassie,D,-1.291307,36.823225,,,,
0711KNC,,Kencom,D,-1.28612,36.82594,,,,
